((5, 5, 2000, 100), 1048, 139.25367630804044, ['BOSTON', 'NEW YORK', 'ATLANTA', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'BOSTON'])
((10, 1, 2000, 1500), 1193, 139.41951639566233, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'PHOENIX', 'HOUSTON', 'ATLANTA', 'MIAMI', 'NEW YORK', 'BOSTON'])
((10, 1, 100, 1500), 1, 139.41951639566236, ['BOSTON', 'NEW YORK', 'MIAMI', 'ATLANTA', 'HOUSTON', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'BOSTON'])
((5, 1, 2000, 2000), 46, 139.48991577468007, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'MIAMI', 'ATLANTA', 'BOSTON'])
((10, 1, 1500, 2000), 804, 139.48991577468007, ['BOSTON', 'ATLANTA', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((1, 10, 500, 1000), 344, 139.60370142659596, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'PHOENIX', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'HOUSTON', 'ATLANTA', 'MIAMI', 'BOSTON'])
((10, 1, 1000, 1000), 978, 139.60370142659596, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((5, 10, 2000, 1000), 1552, 139.60370142659596, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((5, 1, 500, 2000), 70, 139.74780798996906, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'PHOENIX', 'ALBUQUERQUE', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((1, 1, 500, 1500), 2, 140.1141377902964, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'HOUSTON', 'ATLANTA', 'MIAMI', 'NEW YORK', 'BOSTON'])
((1, 10, 1000, 2000), 485, 140.13055536219227, ['BOSTON', 'NEW YORK', 'ATLANTA', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'MIAMI', 'BOSTON'])
((10, 1, 1500, 1000), 570, 140.3032731792453, ['BOSTON', 'NEW YORK', 'ATLANTA', 'MIAMI', 'HOUSTON', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'INDIANAPOLIS', 'BOSTON'])
((5, 1, 2000, 500), 14, 140.68361920925804, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'HOUSTON', 'MIAMI', 'ATLANTA', 'BOSTON'])
((10, 5, 500, 1000), 2, 140.913225676793, ['BOSTON', 'MIAMI', 'HOUSTON', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'OKLAHOMA CITY', 'ATLANTA', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((10, 1, 500, 2000), 259, 140.9159853384907, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'PHOENIX', 'LAS VEGAS', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'ALBUQUERQUE', 'HOUSTON', 'MIAMI', 'ATLANTA', 'BOSTON'])
